Date,t,Open,High,Low,Close
9/21/2020,2702,10934.93,10988.3,10380.26,10462.26
9/20/2020,2701,11095.87,11095.87,10814.48,10938.27
9/19/2020,2700,10933.75,11134.09,10909.62,11094.35
9/18/2020,2699,10951.82,11034.91,10829.66,10944.59
9/17/2020,2698,10973.25,11037.42,10774.63,10948.99
9/16/2020,2697,10797.76,11100.12,10704.88,10974.9
9/15/2020,2696,10677.75,10938.63,10656.46,10796.95
9/14/2020,2695,10328.73,10800.01,10266.01,10680.84
9/13/2020,2694,10452.4,10577.22,10224.33,10323.76
9/12/2020,2693,10409.86,10578.84,10292.39,10442.17
9/11/2020,2692,10369.03,10434.92,10140.84,10400.91
9/10/2020,2691,10242.33,10503.91,10238.14,10363.14
9/9/2020,2690,10134.15,10350.54,10017.25,10242.35
9/8/2020,2689,10369.31,10414.78,9945.11,10131.52
9/7/2020,2688,10281,10399.15,9916.49,10369.56
9/6/2020,2687,10167.22,10353.93,10056.89,10280.35
9/5/2020,2686,10512.53,10581.57,9946.68,10169.57
9/4/2020,2685,10230.37,10663.92,10207.94,10511.81
9/3/2020,2684,11407.19,11443.02,10182.47,10245.3
9/2/2020,2683,11964.82,11964.82,11290.79,11414.03
9/1/2020,2682,11679.32,12067.08,11601.13,11970.48
8/31/2020,2681,11713.31,11768.88,11598.32,11680.82
8/30/2020,2680,11508.71,11715.26,11492.38,11711.51
8/29/2020,2679,11541.05,11585.64,11466.29,11506.87
8/28/2020,2678,11325.3,11545.62,11316.42,11542.5
8/27/2020,2677,11485.61,11570.79,11185.94,11323.4
8/26/2020,2676,11366.89,11530.05,11296.99,11488.36
8/25/2020,2675,11773.59,11778.3,11189.85,11366.14
8/24/2020,2674,11663.69,11807.63,11623.25,11774.6
8/23/2020,2673,11679.7,11713.43,11559.92,11664.85
8/22/2020,2672,11585.48,11689.41,11448.81,11681.83
8/21/2020,2671,11878.03,11899.26,11564.98,11592.49
8/20/2020,2670,11761.5,11900.41,11710.06,11878.37
8/19/2020,2669,11990.88,12028.92,11687.33,11758.28
8/18/2020,2668,12251.9,12335.71,11954.53,11991.23
8/17/2020,2667,11895.66,12359.06,11806.7,12254.4
8/16/2020,2666,11866.69,11934.9,11737.19,11892.8
8/15/2020,2665,11768.7,11963.2,11768.7,11865.7
8/14/2020,2664,11772.66,12150.99,11685.46,11768.87
8/13/2020,2663,11588.41,11796.4,11216.87,11784.14
8/12/2020,2662,11404.6,11748.4,11249.61,11584.93
8/11/2020,2661,11881.65,11932.71,11195.71,11410.53
8/10/2020,2660,11662.26,12045.14,11662.26,11878.11
8/9/2020,2659,11737.33,11806.06,11548.78,11675.74
8/8/2020,2658,11604.55,11800.06,11558.43,11754.05
8/7/2020,2657,11778.89,11898.04,11408.59,11601.47
8/6/2020,2656,11749.87,11902.34,11598.71,11779.77
8/5/2020,2655,11203.82,11786.62,11158.29,11747.02
8/4/2020,2654,11246.2,11385.38,11094.15,11205.89
8/3/2020,2653,11043.77,11453.08,11012.41,11246.35
8/2/2020,2652,11758.76,12034.14,11018.13,11053.61
8/1/2020,2651,11322.57,11794.78,11239.68,11759.59
7/31/2020,2650,11110.21,11415.86,10987.05,11323.47
7/30/2020,2649,11099.83,11169.36,10895.46,11111.21
7/29/2020,2648,10912.95,11304.4,10856.14,11100.47
7/28/2020,2647,11017.46,11204.33,10632.63,10912.82
7/27/2020,2646,9905.22,11298.22,9903.97,10990.87
7/26/2020,2645,9680.23,10023.81,9652.85,9905.17
7/25/2020,2644,9539.49,9704.56,9530.21,9677.11
7/24/2020,2643,9585.51,9623.34,9481.45,9536.89
7/23/2020,2642,9527.14,9610.25,9483,9581.07
7/22/2020,2641,9375.08,9530.52,9319.65,9525.36
7/21/2020,2640,9162.51,9407.26,9149.39,9374.89
7/20/2020,2639,9187.22,9214.27,9137.51,9164.23
7/19/2020,2638,9158.01,9201.4,9097.63,9185.82
7/18/2020,2637,9151.18,9230.98,9100.82,9159.04
7/17/2020,2636,9131.81,9182.25,9089.2,9151.39
7/16/2020,2635,9191.98,9214.31,9088.95,9132.23
7/15/2020,2634,9241.9,9275.33,9171.93,9192.84
7/14/2020,2633,9238.7,9283.84,9171.66,9243.21
7/13/2020,2632,9277.2,9306.4,9224.29,9243.61
7/12/2020,2631,9241.06,9319.42,9197.45,9276.5
7/11/2020,2630,9277.51,9293.53,9199.49,9240.35
7/10/2020,2629,9273.36,9287.47,9118,9278.81
7/9/2020,2628,9427.99,9431.38,9235,9277.97
7/8/2020,2627,9253.02,9450.34,9249.5,9428.33
7/7/2020,2626,9349.16,9360.62,9201.82,9252.28
