Date,t,Open,High,Low,Close,,
4/28/2020,950,3.64,3.74,3.6,3.68,,
4/27/2020,949,3.72,3.74,3.5,3.64,,
4/26/2020,948,3.8,3.83,3.7,3.72,,
4/25/2020,947,3.8,3.89,3.78,3.8,,
4/24/2020,946,3.74,3.89,3.73,3.8,,
4/23/2020,945,3.68,3.82,3.63,3.73,,
4/22/2020,944,3.47,3.7,3.46,3.68,,
4/21/2020,943,3.45,3.58,3.43,3.48,,
4/20/2020,942,3.64,3.78,3.43,3.46,,
4/19/2020,941,3.78,3.81,3.59,3.64,,
4/18/2020,940,3.48,3.8,3.48,3.78,,
4/17/2020,939,3.47,3.53,3.41,3.48,,
4/16/2020,938,3.13,3.52,3.02,3.47,,
4/15/2020,937,3.24,3.31,3.13,3.13,,
4/14/2020,936,3.37,3.44,3.23,3.24,,
4/13/2020,935,3.47,3.47,3.31,3.37,,
4/12/2020,934,3.29,3.59,3.19,3.46,,
4/11/2020,933,3.22,3.42,3.09,3.28,,
4/10/2020,932,3.32,3.33,2.97,3.22,,
4/9/2020,931,3.14,3.45,3.13,3.32,,
4/8/2020,930,2.72,3.24,2.71,3.14,,
4/7/2020,929,2.52,2.87,2.52,2.72,,
4/6/2020,928,2.28,2.52,2.28,2.51,,
4/5/2020,927,2.33,2.33,2.26,2.28,,
4/4/2020,926,2.31,2.33,2.27,2.33,,
4/3/2020,925,2.3,2.38,2.29,2.31,,
4/2/2020,924,2.27,2.39,2.27,2.3,,
4/1/2020,923,2.27,2.3,2.16,2.28,,
3/31/2020,922,2.15,2.28,2.12,2.27,,
3/30/2020,921,2.02,2.18,2.02,2.15,,
3/29/2020,920,2.14,2.15,2.02,2.03,,
3/28/2020,919,2.18,2.18,2.07,2.14,,
3/27/2020,918,2.3,2.34,2.17,2.17,,
3/26/2020,917,2.26,2.3,2.23,2.3,,
3/25/2020,916,2.31,2.33,2.22,2.26,,
3/24/2020,915,2.23,2.36,2.2,2.31,,
3/23/2020,914,1.99,2.24,1.95,2.24,,
3/22/2020,913,2.27,2.31,1.96,1.99,,
3/21/2020,912,2.25,2.33,2.13,2.27,,
3/20/2020,911,2.25,2.6,2.09,2.25,,
3/19/2020,910,1.89,2.34,1.88,2.25,,
3/18/2020,909,1.84,1.91,1.78,1.89,,
3/17/2020,908,1.78,2.05,1.76,1.84,,
3/16/2020,907,2.11,2.11,1.6,1.78,,
3/15/2020,906,2.14,2.36,2.05,2.11,,
3/14/2020,905,2.43,2.5,2.1,2.14,,
3/13/2020,904,2.06,2.71,1.51,2.42,,
3/12/2020,903,3.82,3.83,1.97,2.06,,
3/11/2020,902,4.09,4.11,3.6,3.82,,
3/10/2020,901,4.09,4.2,3.95,4.08,,
3/9/2020,900,4.08,4.34,3.68,4.06,,
